@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17}

@data
1,'2026/06/17 14:41:17:780',1,0,0,8.305936,3.258946,4.864144,1.610903,0,0,3.277801,3.374411,2.223196,3.022813,2.158284,1.351859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659476,0,0,1
2,'2026/06/17 14:41:17:827',1,0,0,6.628477,0,0.706673,0.242667,0.427818,0,2.383165,1.141515,1.092063,0.259822,0,0.44594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,'2026/06/17 14:41:17:875',1,0,0,5.438692,0,1.619682,1.541713,1.667016,0.60322,3.194162,1.170545,0,1.422908,0.4771,1.824872,0,0,0,1.386599,0,0,0,0,0.30193,0.087508,0,0,0,1.637278,0,0.786381,1
4,'2026/06/17 14:41:17:906',1,0,0,7.652746,1.324791,1.69026,0.165674,1.952335,1.069543,3.84655,1.669211,0,1.250146,2.613163,3.19541,0,1.784137,0.189205,1.083134,0,0,0,0,0,0.416554,0.574095,0.302059,0,0,0,0,1
5,'2026/06/17 14:41:17:967',1,11.443836,0,0.07479,0.920325,6.646401,1.369012,0.483577,2.000353,2.700413,3.087402,0.889313,0,0,5.770792,1.812558,0,1.329811,2.997176,0,1.319817,0.427753,0.893699,0,0,0,0,0,0,0.830141,0.450609,1
6,'2026/06/17 14:41:18:013',1,32.174007,0,0,0,5.60466,0,1.445955,0.809763,1.4561,3.567194,4.515621,0,0,7.920228,2.425962,0,0.591528,3.595332,0,2.672896,0.711641,2.081341,0.708146,0,0,0,0,0,0,0.706745,1
7,'2026/06/17 14:41:18:045',1,0,0,2.589316,0,0.223625,0,1.467219,1.829521,1.526781,5.813457,11.90896,12.724525,4.821199,3.247196,0,0,0,0,0,0,2.090006,3.657677,0.116359,0.248191,2.941167,0,0,0,0,0,1
8,'2026/06/17 14:41:19:215',2,5.123878,0,0,0,0,0,0,5.400392,9.425995,1.532153,0,3.010423,2.537396,3.002664,0,0,0,2.478314,0,0.01708,0,0,0.134965,0,0,0,0,0.76675,0,0.638328,1
9,'2026/06/17 14:41:19:261',2,24.080942,0,2.041301,0,1.9073,0,0,4.852764,11.324179,2.106111,0,5.393576,0,4.932909,0,0,0.727081,0.232057,0,1.424664,0,0.254501,1.401174,0,1.508153,0,0,0.698665,0,0.373334,1
10,'2026/06/17 14:41:19:307',2,0,0,10.45327,2.764518,0.071049,0,0.961796,2.812746,6.001528,7.054168,8.2195,9.773129,3.636155,2.810702,0,0,0,0,0,0.373343,1.72119,2.338422,1.978234,0,0,0,0,0,0,0,1
11,'2026/06/17 14:41:19:355',2,0,0,6.301929,0,0,0,0,0,1.411306,0.984162,0,0,0,1.843631,0.265041,0.478064,0,1.255653,0,0,0,0,0,0,0,0.820167,0.79629,0.788509,0,0,1
12,'2026/06/17 14:41:19:401',2,0,0,4.810494,0,0,0,0,0,1.34473,0.050326,0,0.3093,0,3.042479,1.538856,1.234289,1.258708,1.091246,0,0,0.184688,1.276181,0.681174,0.422037,0,0,1.392009,0,0,0,1
13,'2026/06/17 14:41:19:462',2,48.382477,0,0,0.377144,10.640622,0,0,0,0,0,0.419272,1.427011,0,0.052213,3.882053,4.453112,2.059502,0,0,0,0,2.12837,0.783241,0,0,0.451415,0,0,0.009758,1.925579,1
14,'2026/06/17 14:41:19:495',2,42.672638,0,0,2.155698,7.613351,0,0,0,0,0,2.760991,1.202312,0,3.656108,3.452634,2.964474,3.771684,0,0,0,0.45318,0.931164,1.767863,0,0,0,0,0,0,2.180958,1
15,'2026/06/17 14:41:19:538',2,0,0,8.605911,1.199146,0.748798,1.496454,3.575324,2.909358,4.246081,3.664876,1.973036,2.747444,2.103375,3.101048,0.327941,0.149246,0.260913,0.299792,0,0.239304,0.920184,0.230522,0,0,0,0.521522,0.806552,1.380814,0.005601,0,1
16,'2026/06/17 14:41:19:586',2,0,0,6.223502,2.641347,4.437366,2.280597,2.498442,3.407755,4.025754,1.206697,0,1.69143,2.110392,3.114395,0,0,0,1.008922,0,0,0.483426,0,0,0,0,0,0.097416,1.466831,0,0.011599,1
17,'2026/06/17 14:41:19:633',2,31.082174,0,0.729986,0,1.274984,1.483191,4.263122,6.286163,11.667712,7.008325,1.786243,2.132713,0,0.686119,0.466048,0,0,0,0,0,0,0,0,0.440807,1.990032,1.628423,0,1.183427,0,0.432516,1
