@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
522,'2026/06/17 13:21:30:526',8,35.120323,0,0,7.351026,15.460081,14.879352,0,1,0,0,0,0,0,0
523,'2026/06/17 13:21:30:575',8,40.167164,0,0,3.772616,17.920986,14.35862,0,1,0,0,0,0,0,0
524,'2026/06/17 13:21:30:608',8,34.235111,0,0,4.751769,15.416876,15.733242,0,1,0,0,0,0,0,0
525,'2026/06/17 13:21:30:660',8,36.105911,0,0,3.783673,16.118479,15.126032,0,1,0,0,0,0,0,0
526,'2026/06/17 13:21:30:717',8,44.346378,0,0,2.815916,18.932507,15.495944,0,1,0,0,0,0,0,0
527,'2026/06/17 13:21:30:759',8,32.120586,0,0,6.680089,13.897574,19.077055,0,1,0,0,0,0,0,0
528,'2026/06/17 13:21:30:813',8,38.8904,0,0,5.891685,14.693443,19.622684,0,1,0,0,0,0,0,0
529,'2026/06/17 13:21:30:847',8,41.532871,0,0,4.247134,12.728579,18.190138,0,1,0,0,0,0,0,0
530,'2026/06/17 13:21:30:900',8,42.434021,0,0,5.81369,10.904753,19.174425,0,1,0,0,0,0,0,0
531,'2026/06/17 13:21:30:946',8,26.223713,0,0,10.716642,11.804787,18.828739,0,1,0,0,0,0,0,0
532,'2026/06/17 13:21:30:992',8,32.744038,0,0,8.302576,13.739123,16.538116,0,1,0,0,0,0,0,0
533,'2026/06/17 13:21:31:038',8,24.857622,0,0,10.959155,12.290831,15.147641,0,1,0,0,0,0,0,0
534,'2026/06/17 13:21:31:085',8,30.221851,0,0,6.081563,14.370309,14.260629,0,1,0,0,0,0,0,0
535,'2026/06/17 13:21:31:132',8,32.77689,0,0,6.874647,13.924026,15.066017,0,1,0,0,0,0,0,0
536,'2026/06/17 13:21:31:178',8,30.378077,0,0,5.572648,14.398655,18.051147,0,1,0,0,0,0,0,0
537,'2026/06/17 13:21:31:225',8,33.363377,0,0,3.341111,14.191259,17.635054,0,1,0,0,0,0,0,0
538,'2026/06/17 13:21:31:270',8,38.217499,0,0,1.860712,13.550459,18.057758,0,1,0,0,0,0,0,0
539,'2026/06/17 13:21:31:318',8,33.160484,0,0,1.351863,16.724615,16.857738,0,1,0,0,0,0,0,0
540,'2026/06/17 13:21:31:378',8,33.562561,0,0,3.047972,15.110483,17.35758,0,1,0,0,0,0,0,0
541,'2026/06/17 13:21:31:399',8,27.583227,0,0,6.103882,12.297421,16.075787,0,1,0,0,0,0,0,0
542,'2026/06/17 13:21:31:445',8,38.175587,0,0,0,15.917213,15.775893,0,1,0,0,0,0,0,0
543,'2026/06/17 13:21:31:507',8,31.887123,0,0,3.02725,14.470819,16.445353,0,1,0,0,0,0,0,0
544,'2026/06/17 13:21:31:538',8,29.231581,0,0,4.383768,12.317033,15.457981,0,1,0,0,0,0,0,0
545,'2026/06/17 13:21:31:601',8,24.831186,0,0,6.207167,13.760596,14.565709,0,1,0,0,0,0,0,0
546,'2026/06/17 13:21:31:636',8,32.55624,0,0,3.593941,15.362146,12.882594,0,1,0,0,0,0,0,0
547,'2026/06/17 13:21:31:698',8,44.20293,0,0,0,19.282261,12.549491,0,1,0,0,0,0,0,0
548,'2026/06/17 13:21:31:736',8,46.544563,0,0,0,17.703876,13.088862,0,1,0,0,0,0,0,0
549,'2026/06/17 13:21:31:762',8,32.293404,0,0,3.255856,12.493204,14.688324,0,1,0,0,0,0,0,0
550,'2026/06/17 13:21:31:828',8,37.606457,0,0,1.516329,12.987201,12.513491,0,1,0,0,0,0,0,0
551,'2026/06/17 13:21:31:874',8,40.18779,0,0,0,19.354445,11.013735,0,1,0,0,0,0,0,0
552,'2026/06/17 13:21:31:920',8,39.84346,0,0,0.074137,18.563597,10.424988,0,1,0,0,0,0,0,0
553,'2026/06/17 13:21:31:967',8,38.994297,0,0,2.507217,14.102865,9.966955,0,1,0,0,0,0,0,0
554,'2026/06/17 13:21:32:013',8,31.95331,0,0,7.288855,16.514393,9.722969,0,1,0,0,0,0,0,0
